;;agricultural land occupation;climate change;fossil depletion;freshwater ecotoxicity;freshwater eutrophication;human toxicity;ionising radiation;marine ecotoxicity;marine eutrophication;metal depletion;natural land transformation;ozone depletion;particulate matter formation;photochemical oxidant formation;terrestrial acidification;terrestrial ecotoxicity;urban land occupation;water depletion;human noise;Coal;Crude oil;Natural gas;Brown coal;Peat
;;m2.year;kg CO2-eq.;kg oil-eq.;kg 1,4-DC;kg P-eq.;kg 1,4-DC;kg U235-eq.;kg 1,4-DC;kg N-eq.;kg Cu-eq.;m2;kg CFC-11-eq.;kg PM10-eq.;kg NMVOC;kg SO2-eq.;kg 1,4-DC;m2.year;m3;Person*Pa/W;kilogram;kilogram;cubic meter;kilogram;kilogram
_lci_direct_brake_wear;market for brake wear emissions, passenger car;0;0;0;-0.563593167;0;-1190.949363;0;-21.33142475;-6.22E-05;0;0;0;-0.987119959;-0.002886486;-0.035599999;-2.803044056;0;0;0;0;0;0;0;0
_lci_car_maintenance;maintenance, passenger car;57.20160823;1033.209196;447.7164073;72.05284247;0.499453413;687.683147;210.0095594;63.93831307;0.84441669;6.2644915;0.205949062;0.000119809;1.628129589;3.746450598;4.435544945;0.083941095;6.795332734;3.06406941;0;131.79;236.14;11.35;116.37;1.38
_lci_energy_cng;market for natural gas, from high pressure network (1-5 bar), at service station;0.005341324;0.582828012;1.31153224;0.012413864;0.000114267;0.165157717;0.032753375;0.005392897;0.000463774;0.000923842;0.000473769;2.95E-07;0.000990489;0.002442719;0.002597646;0.000155627;0.00279414;0.000806629;0;0.0615;0.007976;1.3901;0.0271;0.0001106
_lci_energy_diesel;market for diesel;0.006589247;0.514632805;1.346070906;0.00386768;6.77E-05;0.108157009;0.252218467;0.002887634;0.00070172;0.000964097;0.001397022;6.85E-07;0.00143425;0.003185855;0.004893401;6.49E-05;0.006544416;0.00127089;0;0.03101;1.1755;0.05136;0.01455;0.0001279
_lci_energy_electricity;market group for electricity, low voltage;0.048076051;0.425057737;0.119586439;0.024155168;0.000482392;0.355463187;0.247607867;0.021714566;0.000437809;0.000838247;3.67E-05;4.65E-08;0.000784324;0.000954484;0.002553056;2.27E-05;0.002972226;0.0025673;0;0.09524;0.008789;0.030481;0.16019;0.001953
_lci_energy_h2;Hydrogen, gaseous, 700 bar, from electrolysis, at H2 fuelling station;2.638333163;25.47744417;7.244521291;0.590269663;0.026706074;18.58683963;14.27763993;0.555719189;0.026940742;0.03817511;0.0022758;2.7E-06;0.046748798;0.060836792;0.152814289;0.000712568;0.146978765;0.164715426;0;6.1005;0.5069;1.92858;8.8522;0.1091
_lci_energy_petrol;market for petrol, low-sulfur;0.014752075;0.75530002;1.418515117;0.004743879;9.8E-05;0.146411334;0.268229458;0.003763294;0.00085283;0.001299605;0.0014357;7.05E-07;0.001822151;0.003818056;0.006277798;7.88E-05;0.007210019;0.001454171;0;0.04211;1.22256;0.06713;0.2162;0.00021
_lci_glider;market for glider, passenger car;0.250972317;6.172562427;1.812673437;0.874601443;0.005599413;8.721504779;0.490613059;0.754522628;0.007471893;0.191139606;0.000872162;3.81E-07;0.019039569;0.028579244;0.027693155;0.001483338;0.092189953;0.027957225;0;1.6373;0.429;0.5349;0.4052;0.002033
_lci_glider_lightweighting;Glider lightweighting;-0.014666106;-2.63338028;-0.682808737;0.064386291;9.05E-05;2.441228225;-0.052114342;0.061153323;-0.002465191;0.042414987;-0.000292571;-1.74E-07;-0.009258618;-0.015449361;-0.009259376;7.51E-05;-0.032726351;-0.001997247;0;-1.074720767;-0.154224986;-0.012710752;-0.013031617;-0.000182885
_lci_powertrain;market for internal combustion engine, passenger car;0.206830716;7.566135986;2.151365652;2.266100239;0.004632632;7.117328867;0.500763302;1.941641666;0.008801133;0.164929983;0.000975391;6.65E-07;0.02338084;0.033632328;0.04958027;0.001393783;0.09685165;0.028341935;0;2.223429095;0.421190705;0.59471896;0.4894901;0.001811997
