powertrain,euro_class,component,size,value
ICEV-d,6,Non-methane hydrocarbon,32t,0.001298457
ICEV-d,6,Nitrogen dioxide,32t,0.042732512
ICEV-d,6,Nitrogen oxides,32t,0.15261611
ICEV-d,6,Lead,32t,0
ICEV-d,6,Particulate matters 2.5,32t,0.000641224
ICEV-d,6,Benzene,40t,2.28577E-05
ICEV-d,6,Methane,40t,3.28494E-05
ICEV-d,6,Carbon monoxide,40t,0.012617528
ICEV-d,6,Hydrocarbon,40t,0.001368727
ICEV-d,6,Dinitrogen oxide,40t,0.002708662
ICEV-d,6,Ammonia,40t,0.000946766
ICEV-d,6,Non-methane hydrocarbon,40t,0.001335877
ICEV-d,6,Nitrogen dioxide,40t,0.044016904
ICEV-d,6,Nitrogen oxides,40t,0.157203227
ICEV-d,6,Lead,40t,0
ICEV-d,6,Particulate matters 2.5,40t,0.000655881
ICEV-d,6,Benzene,60t,2.23823E-05
ICEV-d,6,Methane,60t,3.21662E-05
ICEV-d,6,Carbon monoxide,60t,0.012270925
ICEV-d,6,Hydrocarbon,60t,0.001340258
ICEV-d,6,Dinitrogen oxide,60t,0.002169527
ICEV-d,6,Ammonia,60t,0.000715563
ICEV-d,6,Non-methane hydrocarbon,60t,0.001308092
ICEV-d,6,Nitrogen dioxide,60t,0.045504045
ICEV-d,6,Nitrogen oxides,60t,0.162514443
ICEV-d,6,Lead,60t,0
ICEV-d,6,Particulate matters 2.5,60t,0.000635626
ICEV-d,6,Benzene,7.5t,2.19637E-05
ICEV-d,6,Methane,7.5t,3.15645E-05
ICEV-d,6,Carbon monoxide,7.5t,0.012949494
ICEV-d,6,Hydrocarbon,7.5t,0.001315189
ICEV-d,6,Dinitrogen oxide,7.5t,0.003696408
ICEV-d,6,Ammonia,7.5t,0.000939007
ICEV-d,6,Non-methane hydrocarbon,7.5t,0.001283625
ICEV-d,6,Nitrogen dioxide,7.5t,0.042103441
ICEV-d,6,Nitrogen oxides,7.5t,0.15036943
ICEV-d,6,Lead,7.5t,0
ICEV-d,6,Particulate matters 2.5,7.5t,0.001344127
ICEV-g,6,Benzene,3.5t,0
ICEV-g,6,Methane,3.5t,0.011069846
ICEV-g,6,Carbon monoxide,3.5t,0.045409835
