Time;Urban, 9m;Urban, 13m;Coach, 13m;Urban, 13m, double deck;Coach, 13m, double deck;Urban, 18m
336;0.023;0.023;0.04475;0.023;0.04475;0.023
337;0.023;0.023;0.04475;0.023;0.044333;0.023
338;0.023;0.023;0.04475;0.023;0.043749;0.023
339;0.023;0.023;0.044636;0.023;0.043749;0.023
340;0.023;0.023;0.043871;0.023;0.043749;0.023
341;0.023;0.023;0.043749;0.023;0.043628;0.023
342;0.023;0.023;0.043749;0.023;0.042651;0.023
343;0.023;0.023;0.043749;0.023;0.042637;0.023
344;0.023;0.023;0.043002;0.023;0.042637;0.023
345;0.023;0.023;0.042637;0.023;0.042637;0.023
346;0.023;0.023;0.042637;0.023;0.042637;0.023
347;0.023;0.023;0.042637;0.023;0.042637;0.023
348;0.023;0.023;0.042637;0.023;0.042637;0.023
349;0.023;0.023;0.042637;0.023;0.042637;0.023
350;0.023;0.023;0.042637;0.023;0.042176;0.023
351;0.023;0.023;0.042637;0.023;0.041492;0.023
352;0.023;0.023;0.042507;0.023;0.040251;0.023
353;0.023;0.023;0.041726;0.023;0.039283;0.023
354;0.023;0.023;0.040748;0.023;0.03845;0.023
355;0.023;0.023;0.039881;0.023;0.037137;0.023
356;0.023;0.023;0.038673;0.023;0.036158;0.023
357;0.023;0.023;0.037608;0.023;0.035299;0.023
358;0.023;0.023;0.036762;0.023;0.034127;0.023
359;0.023;0.023;0.035599;0.023;0.033051;0.023
360;0.023;0.023;0.034525;0.022974;0.032153;0.022947
361;0.022182;0.023;0.033614;0.021834;0.031123;0.021791
362;0.02006;0.022001;0.032564;0.019435;0.029958;0.019355
363;0.017097;0.019654;0.031449;0.016758;0.029025;0.016709
364;0.014664;0.016894;0.030477;0.014046;0.028283;0.013953
365;0.011945;0.014309;0.029545;0.011445;0.028283;0.011364
366;0.010301;0.011695;0.02839;0.010173;0.028188;0.010159
367;0.010766;0.010231;0.028283;0.011055;0.027047;0.011097
368;0.01315;0.010662;0.028283;0.01392;0.02626;0.014034
369;0.01751;0.013207;0.027583;0.018451;0.025512;0.018589
370;0.021768;0.017176;0.026646;0.02269;0.024527;0.022825
371;0.025925;0.021538;0.025734;0.02659;0.023758;0.026687
372;0.028336;0.025655;0.024921;0.028598;0.023096;0.028635
373;0.028988;0.02823;0.024234;0.028952;0.022053;0.028947
374;0.028213;0.029;0.023273;0.027686;0.021274;0.027609
375;0.025122;0.028417;0.022427;0.02446;0.02059;0.024364
376;0.021287;0.025436;0.021754;0.020201;0.019657;0.020042
